elevation,FloodRisk
7,0.077
12,0.031
13,-0.007
7,0.099
13,-0.072
7,0.116
10,-0.015
14,-0.073
11,-0.005
9,-0.068
7,0.077
7,-0.073
9,-0.169
7,0.054
12,-0.154
11,-0.17
7,0.078
7,0.084
9,-0.087
12,-0.116
7,0.047
11,-0.064
7,0.032
9,-0.089
7,-0.117
10,-0.093
11,-0.139
7,0.045
7,0.062
7,-0.011
7,0.023
7,0.052
7,0.041
11,-0.065
13,-0
9,-0.095
7,0.06
8,-0.145
11,-0.076
13,0.053
13,0.007
7,0.009
7,0.04
7,0.03
10,-0.058
11,-0.018
11,-0.035
7,-0.026
7,0.056
7,0.071
7,0.269
7,0.301
12,-0.029
7,0.293
7,0.296
10,-0.183
10,-0.076
11,0.06
12,0.04
7,0.042
7,0.083
7,0.008
7,0.044
7,-0.202
11,0.036
7,0.07
7,0.078
7,0.068
7,0.048
7,0.032
7,0.059
10,-0.171
10,0.098
15,0.034
7,0.088
7,0.084
7,0.053
7,0.02
12,-0.205
11,-0.198
10,0.141
11,0.052
7,0.045
7,0.069
7,0.078
7,0.064
7,0.054
9,-0.164
9,-0.044
10,0.062
7,0.036
7,0.079
7,0.054
7,0.103
7,0.082
7,0.082
7,0.057
7,0.051
11,-0.137
10,-0.204
10,-0.151
10,-0.168
11,-0.173
11,-0.144
11,0.043
7,0.098
7,0.077
7,0.05
7,0.064
7,-0.043
8,0.034
8,-0.047
11,-0.205
12,-0.222
11,-0.178
11,-0.176
10,-0.147
11,0.045
10,-0.067
11,-0.019
7,0.003
7,0.103
7,0.069
10,-0.048
10,-0.087
10,-0.181
9,-0.143
10,-0.197
9,-0.202
10,0.052
7,0.019
8,-0.02
7,0.051
7,0.066
7,0.042
7,0.068
8,0.062
8,0.05
12,-0.173
12,-0.198
10,-0.206
12,0.054
10,-0.01
11,0.051
11,0.05
9,0.068
7,0.081
7,0.112
7,0.029
9,0.017
10,0.029
9,-0.03
12,-0.181
12,-0.175
10,-0.003
9,0.086
10,0.07
10,0.002
10,0.042
9,0.112
9,0.022
9,0.022
12,0.031
11,-0.025
8,-0
10,-0.17
11,-0.172
11,-0.194
12,-0.16
10,-0.159
9,-0.2
11,0.039
11,-0.01
11,0.023
12,0.074
7,0.099
9,-0.001
11,0.009
10,-0.09
12,-0.153
10,-0.187
10,-0.167
10,0.029
10,0.016
10,0.069
11,0.046
7,-0.019
7,0.063
7,-0.066
12,-0
7,-0.019
7,0.058
11,-0.012
12,-0.137
10,-0.057
10,-0.052
11,-0.088
10,-0.072
9,0.086
12,0.036
11,-0.021
11,0.03
10,-0.012
7,0.076
10,0.048
12,-0.148
10,-0.026
11,-0.089
10,-0.04
11,0.003
10,0.023
11,0.008
9,-0.002
11,0.031
8,-0.031
10,0.016
9,0.045
9,0.061
9,-0.016
10,0.221
13,0.108
7,-0.036
9,0.033
9,0.07
7,-0.095
10,-0.011
11,-0.122
12,-0.074
9,0.01
10,0.018
9,-0.022
9,0.046
10,0.01
13,0.028
8,0.042
9,0.06
11,0.06
11,0.054
12,0.012
8,-0.105
10,-0.038
14,-0.152
9,-0.114
12,-0.052
9,-0.037
9,-0.057
9,-0.03
8,0.012
10,0.048
8,0.04
8,0.064
11,0.102
11,0.063
9,0.041
7,0.001
11,0.056
12,-0.086
12,-0.103
11,-0.042
9,0.029
11,-0.002
10,0.024
11,0.023
11,0.022
9,0.016
8,0.037
10,0.087
11,0.084
10,0.011
9,0.065
11,0.066
7,0.059
9,0.025
8,0.081
9,0.076
8,0.04
8,0.07
13,0.055
13,-0.025
12,-0.094
10,0.014
10,0.016
9,0.047
10,0.038
10,-0.047
10,-0.01
11,0.019
10,0.07
10,0.094
10,0.049
11,0.052
11,0.058
8,0.061
11,-0.002
9,0.027
10,0.039
9,-0.112
10,0.039
11,0.046
11,0.07
11,0.04
11,-0.009
10,0.077
10,0.027
10,-0.049
11,-0.016
11,0.015
11,0.058
8,0.023
12,0.035
12,0.059
9,0.08
9,0.07
10,0.041
13,-0.055
12,0.055
10,0.073
11,0.076
11,0.102
12,0.072
10,0.087
11,0.034
12,0.019
10,-0.045
11,0.032
12,0.052
8,0.012
8,0.116
11,0.016
10,-0.01
10,0.004
11,0.014
10,0.047
11,0.014
11,0.098
11,-0.162
11,-0.169
12,0.014
7,-0.005
8,0.008
13,0.05
10,0.051
9,0.084
12,0.067
9,0.046
11,-0.077
9,-0.082
10,-0.067
9,0.011
10,0.02
10,-0.051
10,-0.062
13,-0.163
11,-0.162
10,-0.173
11,-0.096
7,0.079
11,0.037
10,0.043
11,0.039
10,0.083
10,0.074
12,0.004
11,0.076
11,0.077
9,-0.01
8,-0.065
11,0.042
12,0.054
9,0.102
9,0.039
12,-0.095
11,-0.16
9,-0.032
11,0.044
9,0.056
12,0.078
10,0.047
9,0.026
10,0.127
9,0.233
10,0.113
12,0.065
12,-0.078
12,0.017
13,0.019
12,-0.003
10,-0.189
11,0.084
10,0.025
11,0.032
11,0.107
11,0.081
11,-0.157
12,-0.176
16,0.042
13,-0.196
12,-0.214
11,-0.175
9,0.053
9,0.05
12,0.005
10,0.071
13,0.071
10,0.02
10,0.027
11,0.003
11,0.007
9,0.066
12,0.036
11,0.023
12,-0.126
13,0.049
10,-0.181
10,-0.172
12,-0.116
12,-0.1
10,-0.037
11,0.077
11,0.05
11,-0.158
12,-0.153
10,0.043
11,0.033
12,-0.004
10,0.031
9,-0.009
11,0.085
9,0.055
8,0.06
13,0.022
10,0.101
11,0.082
12,-0.129
12,-0.199
11,-0.008
12,0.04
12,0.039
11,0.003
10,-0.194
12,-0.241
13,-0.15
13,-0.131
11,0.09
11,0.077
11,0.041
7,0.014
13,0.048
9,0.009
13,0.072
13,-0.154
10,0.064
10,0.059
11,-0.055
12,0.01
10,-0.182
8,0.062
10,0.003
10,-0.01
9,-0.054
11,0.09
13,0.058
12,0.056
11,-0.096
11,-0.118
11,-0.061
12,-0.143
12,-0.056
11,-0.012
13,-0.148
15,-0.156
14,-0.15
13,-0.124
9,-0.001
9,0.023
10,0.06
10,0.082
11,0.055
12,0.05
11,-0.193
12,0.038
11,0.04
11,-0.083
9,-0.164
10,0.009
9,-0.03
9,-0.104
11,0.038
12,-0.121
10,-0.024
13,-0.168
13,-0.062
11,-0.104
10,-0.171
9,0.06
10,0.051
10,0.036
10,-0.145
10,-0.08
11,0.008
11,0.038
9,-0.188
11,0.032
12,-0.052
11,0.036
9,0.015
12,-0.02
14,-0.148
12,0.024
11,-0.193
11,-0.135
11,0.028
10,0.038
9,0.056
9,0.032
11,-0.153
11,-0.007
11,-0.134
9,-0.208
11,-0.183
10,0.063
10,0.055
11,0.11
11,0.089
11,0.07
12,-0.004
11,0.042
10,0.079
12,-0.259
13,-0.205
12,-0.177
9,-0.002
9,0.007
8,0.018
11,0.007
13,0.101
12,0.016
18,-0.269
13,-0.143
10,0.103
11,-0.113
8,-0.151
12,0.038
9,0.043
11,0.037
10,-0.038
10,-0.194
13,-0.194
12,-0.088
10,-0.177
8,-0.046
9,-0.005
9,0.005
11,0.07
10,-0.137
16,-0.066
10,-0.164
12,-0.156
12,-0.145
9,-0.099
9,-0.148
10,-0.145
9,0.071
9,0.069
12,0.053
14,-0.056
9,-0.216
12,-0.195
9,-0.146
10,-0.049
10,-0.062
10,-0.035
10,0.078
12,0.037
12,0.009
10,0.008
13,-0.048
11,-0.161
11,-0.168
11,-0.119
8,0.049
11,-0.147
10,-0.022
10,0.021
10,0.047
9,0.05
9,0.04
10,-0.043
11,-0.15
9,-0.192
10,-0.199
13,-0.198
14,-0.166
10,-0.229
12,-0.018
10,0.033
11,0.021
13,-0.012
10,0.014
11,-0.028
14,0.009
13,-0.041
13,-0.032
9,-0.098
10,-0.064
11,0.059
8,0.04
8,-0.016
10,-0.027
9,-0.177
9,-0.163
13,-0.12
11,-0.188
9,-0.147
14,-0.169
10,-0.126
9,-0.105
12,-0.212
10,0.091
12,0.032
10,0.003
10,0.039
17,-0.134
14,-0.096
14,-0.025
11,-0.131
9,-0.175
12,-0.124
8,-0.089
11,-0.102
11,-0.084
10,-0.158
14,-0.152
13,-0.218
12,-0.229
10,-0.178
11,-0.236
10,-0.131
13,-0.068
9,-0.158
10,0
11,0.015
12,-0.1
9,-0.18
12,-0.12
16,-0.132
12,-0.178
10,-0.001
10,-0.106
10,-0.105
10,-0.182
11,-0.183
9,0.005
11,-0.202
10,-0.194
12,-0.168
10,-0.164
11,-0.161
11,-0.21
13,-0.212
10,-0.162
11,-0.158
15,-0.198
10,0.087
11,-0.025
11,-0.051
11,-0.004
9,0.065
19,-0.132
16,-0.049
11,-0.13
12,0.005
11,-0.141
12,-0.002
10,-0.149
10,-0.071
10,0.017
11,-0.041
9,0.037
10,-0.056
8,-0.189
10,-0.237
9,-0.15
11,-0.203
12,-0.153
10,-0.121
10,-0.135
11,-0.176
12,0.018
13,-0.177
12,-0.087
11,-0.163
10,0.069
11,0.066
10,-0.03
13,0.095
15,-0.114
9,0.006
10,-0.146
12,-0.133
11,-0.149
10,-0.041
13,-0.188
10,-0.178
13,-0.158
12,-0.196
12,-0.103
8,0.022
11,-0.116
14,-0.186
16,-0.207
11,-0.172
13,-0.181
12,-0.178
12,-0.107
9,-0.064
11,-0.109
11,-0.079
12,-0.027
11,-0.043
10,-0.131
11,-0.159
10,-0.154
12,-0.143
13,-0.261
10,-0.153
9,-0.157
10,-0.18
11,-0.225
14,-0.18
13,-0.188
13,-0.16
12,-0.177
12,-0.15
10,-0.164
10,-0.176
9,-0.16
8,-0.194
19,-0.049
18,-0.124
18,-0.09
18,-0.078
13,-0.198
