slope,FloodRisk
0,0.077
3.186,0.031
1.376,-0.007
0,0.099
6.543,-0.072
0,0.116
4.123,-0.015
2.78,-0.073
1.376,-0.005
2.034,-0.068
0,0.077
7.084,-0.073
2.751,-0.169
0,0.054
1.376,-0.154
2.235,-0.17
0,0.078
0,0.084
2.96,-0.087
1.376,-0.116
0,0.047
2.115,-0.064
0,0.032
2.96,-0.089
0,-0.117
3.186,-0.093
0,-0.139
0,0.045
0,0.062
0,-0.011
0,0.023
0,0.052
0,0.041
2.034,-0.065
1.017,-0
4.123,-0.095
0,0.06
1.376,-0.145
1.376,-0.076
0,0.053
2.751,0.007
0,0.009
0,0.04
0,0.03
0,-0.058
1.017,-0.018
2.034,-0.035
0,-0.026
0,0.056
0,0.071
0,0.269
0,0.301
0,-0.029
0,0.293
0,0.296
1.376,-0.183
2.235,-0.076
1.017,0.06
1.017,0.04
0,0.042
0,0.083
0,0.008
0,0.044
3.186,-0.202
2.034,0.036
0,0.07
0,0.078
0,0.068
0,0.048
0,0.032
0,0.059
2.235,-0.171
1.854,0.098
2.235,0.034
0,0.088
0,0.084
0,0.053
0,0.02
2.115,-0.205
2.115,-0.198
2.235,0.141
1.376,0.052
0,0.045
0,0.069
0,0.078
0,0.064
0,0.054
1.017,-0.164
2.115,-0.044
0.927,0.062
0,0.036
0,0.079
0,0.054
0,0.103
0,0.082
0,0.082
0,0.057
0,0.051
1.017,-0.137
2.235,-0.204
1.376,-0.151
0.927,-0.168
0.927,-0.173
0,-0.144
2.115,0.043
0,0.098
0,0.077
0,0.05
0,0.064
0,-0.043
2.235,0.034
1.376,-0.047
2.751,-0.205
3.186,-0.222
1.854,-0.178
1.376,-0.176
0,-0.147
2.034,0.045
3.186,-0.067
2.96,-0.019
4.123,0.003
0,0.103
0,0.069
4.123,-0.048
4.463,-0.087
2.235,-0.181
0,-0.143
2.115,-0.197
3.186,-0.202
0.927,0.052
0.927,0.019
2.96,-0.02
0,0.051
0,0.066
0,0.042
0,0.068
2.115,0.062
2.235,0.05
1.376,-0.173
1.854,-0.198
3.049,-0.206
1.017,0.054
5.534,-0.01
1.854,0.051
1.376,0.05
1.017,0.068
0,0.081
0,0.112
0,0.029
1.017,0.017
1.017,0.029
3.567,-0.03
1.854,-0.181
1.376,-0.175
2.96,-0.003
1.376,0.086
1.376,0.07
3.049,0.002
2.78,0.042
1.854,0.112
3.567,0.022
3.049,0.022
1.376,0.031
4.463,-0.025
3.186,-0
2.115,-0.17
1.376,-0.172
2.751,-0.194
0.927,-0.16
0.927,-0.159
2.96,-0.2
1.376,0.039
2.751,-0.01
2.235,0.023
5.489,0.074
0,0.099
2.115,-0.001
1.017,0.009
3.567,-0.09
0.927,-0.153
2.235,-0.187
1.854,-0.167
0,0.029
2.751,0.016
1.017,0.069
2.235,0.046
0,-0.019
0,0.063
6.08,-0.066
2.115,-0
4.123,-0.019
0,0.058
0.927,-0.012
4.123,-0.137
3.705,-0.057
4.223,-0.052
2.115,-0.088
2.235,-0.072
0,0.086
1.376,0.036
