FloodRisk,Count
-0.27,1
-0.266,1
-0.262,3
-0.258,3
-0.254,
-0.25,3
-0.246,2
-0.242,7
-0.238,14
-0.234,8
-0.23,11
-0.227,10
-0.223,16
-0.219,15
-0.215,26
-0.211,30
-0.207,41
-0.203,39
-0.199,53
-0.195,50
-0.191,45
-0.188,71
-0.184,78
-0.18,73
-0.176,82
-0.172,82
-0.168,76
-0.164,88
-0.16,84
-0.156,76
-0.152,82
-0.148,86
-0.145,63
-0.141,69
-0.137,72
-0.133,52
-0.129,54
-0.125,53
-0.121,59
-0.117,44
-0.113,52
-0.109,55
-0.105,66
-0.102,48
-0.098,49
-0.094,57
-0.09,42
-0.086,41
-0.082,36
-0.078,50
-0.074,43
-0.07,32
-0.066,38
-0.063,43
-0.059,39
-0.055,39
-0.051,38
-0.047,39
-0.043,42
-0.039,49
-0.035,28
-0.031,38
-0.027,33
-0.023,37
-0.02,31
-0.016,35
-0.012,33
-0.008,36
-0.004,44
0,29
0.004,44
0.008,48
0.012,38
0.016,39
0.02,43
0.023,42
0.027,37
0.031,33
0.035,48
0.039,51
0.043,51
0.047,39
0.051,47
0.055,26
0.059,35
0.063,33
0.066,31
0.07,23
0.074,32
0.078,22
0.082,26
0.086,21
0.09,15
0.094,12
0.098,17
0.102,13
0.105,10
0.109,14
0.113,4
0.117,4
0.121,4
0.125,3
0.129,1
0.133,2
0.137,1
0.141,
0.145,2
0.148,
0.152,1
0.156,1
0.16,1
0.164,3
0.168,1
0.172,
0.176,
0.18,
0.184,2
0.188,
0.191,1
0.195,2
0.199,1
0.203,
0.207,
0.211,2
0.215,1
0.219,1
0.223,1
0.227,
0.23,1
0.234,
0.238,
0.242,
0.246,
0.25,
0.254,2
0.258,
0.262,
0.266,1
0.27,
0.273,
0.277,
0.281,
0.285,
0.289,
0.293,2
0.297,
0.301,1
