NDWI,FloodRisk
-0.303,0.077
-0.238,0.031
-0.381,-0.007
-0.261,0.099
-0.304,-0.072
-0.225,0.116
-0.306,-0.015
-0.45,-0.073
-0.389,-0.005
-0.501,-0.068
-0.303,0.077
-0.32,-0.073
-0.675,-0.169
-0.35,0.054
-0.681,-0.154
-0.684,-0.17
-0.301,0.078
-0.29,0.084
-0.501,-0.087
-0.605,-0.116
-0.364,0.047
-0.478,-0.064
-0.394,0.032
-0.505,-0.089
-0.693,-0.117
-0.498,-0.093
-0.711,-0.139
-0.367,0.045
-0.335,0.062
-0.48,-0.011
-0.412,0.023
-0.354,0.052
-0.377,0.041
-0.483,-0.065
-0.382,-0
-0.471,-0.095
-0.337,0.06
-0.686,-0.145
-0.531,-0.076
-0.317,0.053
-0.297,0.007
-0.44,0.009
-0.377,0.04
-0.399,0.03
-0.556,-0.058
-0.43,-0.018
-0.423,-0.035
-0.511,-0.026
-0.346,0.056
-0.316,0.071
0.079,0.269
0.145,0.301
-0.487,-0.029
0.129,0.293
0.133,0.296
-0.751,-0.183
-0.503,-0.076
-0.273,0.06
-0.306,0.04
-0.374,0.042
-0.292,0.083
-0.442,0.008
-0.369,0.044
-0.735,-0.202
-0.281,0.036
-0.318,0.07
-0.303,0.078
-0.322,0.068
-0.363,0.048
-0.394,0.032
-0.339,0.059
-0.694,-0.171
-0.17,0.098
-0.252,0.034
-0.281,0.088
-0.29,0.084
-0.352,0.053
-0.417,0.02
-0.753,-0.205
-0.745,-0.198
-0.069,0.141
-0.275,0.052
-0.369,0.045
-0.32,0.069
-0.302,0.078
-0.33,0.064
-0.351,0.054
-0.734,-0.164
-0.449,-0.044
-0.278,0.062
-0.386,0.036
-0.301,0.079
-0.349,0.054
-0.251,0.103
-0.293,0.082
-0.293,0.082
-0.345,0.057
-0.356,0.051
-0.668,-0.137
-0.759,-0.204
-0.686,-0.151
-0.738,-0.168
-0.743,-0.173
-0.723,-0.144
-0.264,0.043
-0.263,0.098
-0.305,0.077
-0.358,0.05
-0.33,0.064
