system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
0,1,0.07744384303112313,-0.30311233,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20271845844968,24.24885246420756]}"
1,1,0.03141033605019326,-0.23772858,12,3.1862686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20379643679064,24.24885246420756]}"
2,1,-0.007137873712394254,-0.38122243,13,1.3763329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20406593137591,24.24885246420756]}"
3,1,0.09874241930224974,-0.26051515,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20244896386447,24.248582969622326]}"
4,1,-0.07199282687579014,-0.30426356,13,6.543052,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20514390971681,24.248582969622326]}"
5,1,0.11630769230769229,-0.22538462,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20271845844968,24.248313475037087]}"
6,1,-0.015342963132159285,-0.30577978,10,4.1226535,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.248313475037087]}"
7,1,-0.07282848630663016,-0.45044544,14,2.7802885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20514390971681,24.248043980451854]}"
8,1,-0.005133614278537646,-0.3892142,11,1.3763263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20352694220543,24.247774485866614]}"
9,1,-0.06816561970846532,-0.50098675,9,2.0336123,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.247774485866614]}"
10,1,0.07738107098381071,-0.30323786,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20217946927926,24.24750499128138]}"
11,1,-0.07256612590401475,-0.31976047,7,7.0842943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20244896386447,24.24750499128138]}"
12,0,-0.16943442312992057,-0.6748263,9,2.7510629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.24750499128138]}"
13,1,0.05389190858554664,-0.35021618,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.2011014909383,24.24723549669615]}"
14,0,-0.1538740487210002,-0.6806952,12,1.376323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20352694220543,24.24723549669615]}"
15,0,-0.1697462921569205,-0.6841019,11,2.2347682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.24723549669615]}"
16,1,0.07832432432432433,-0.30135134,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20164048010878,24.246696507525677]}"
17,1,0.08388958990536276,-0.29022083,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20217946927926,24.246696507525677]}"
18,0,-0.08653308221077223,-0.5006683,9,2.9599473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20298795303495,24.246696507525677]}"
19,0,-0.11601544809802995,-0.6049781,12,1.3763198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20352694220543,24.246696507525677]}"
20,1,0.04716847666568828,-0.36366305,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20164048010878,24.246427012940437]}"
21,1,-0.0640820696816694,-0.47757918,11,2.114624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20433542596112,24.246427012940437]}"
22,1,0.032030303030303034,-0.3939394,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20137098552351,24.246157518355204]}"
23,0,-0.0886949771970307,-0.5049921,9,2.959946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20244896386447,24.246157518355204]}"
24,0,-0.11731189644544897,-0.6926238,7,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20029300718261,24.245888023769965]}"
